sell_mode,cell,configuration,mois,date_rebalance,n_titres,poids_moyen,poids_max,n_BUY,n_NEUTRAL,n_SELL,w_BUY,w_NEUTRAL,w_SELL,liquidity_obj,cvar_obj,expected_alpha_raw
exclude,2,C2 Ridge + régime,2021-08,2021-08-31,36,0.02777023218041799,0.18280149345664856,22,14,0,0.5143585159951675,0.48536984249988036,0.0,0.0,0.008885,0.291561
exclude,2,C2 Ridge + régime,2021-09,2021-09-30,25,0.03998580198053932,0.26031641314854215,14,11,0,0.6999195393230984,0.2997255101903848,0.0,0.0,0.008672,0.398888
exclude,2,C2 Ridge + régime,2021-10,2021-10-29,29,0.03446432037789939,0.23146639615692066,19,10,0,0.8841294441543672,0.11533584680471508,0.0,0.0,0.008295,0.379926
exclude,2,C2 Ridge + régime,2021-11,2021-11-30,27,0.03702632126611473,0.3322663243831857,10,17,0,0.9114477992288341,0.08826287495626362,0.0,0.0,0.012023,0.346336
exclude,2,C2 Ridge + régime,2021-12,2021-12-31,26,0.038456154185733435,0.25011449940100194,11,15,0,0.6512227927880667,0.3486372160410025,0.0,0.0,0.009922,0.408765
exclude,2,C2 Ridge + régime,2022-01,2022-01-31,24,0.04166205472120069,0.31142029498910523,12,12,0,0.7105002160013378,0.2893890973074787,0.0,0.0,0.010469,0.558875
exclude,2,C2 Ridge + régime,2022-02,2022-02-28,23,0.04347385830412615,0.2511272537610122,10,13,0,0.7151752296507148,0.28472351134418666,0.0,0.0,0.007832,0.433686
exclude,2,C2 Ridge + régime,2022-03,2022-03-31,16,0.06249900228307069,0.18727877978933152,5,11,0,0.4956876311016437,0.5042964054274873,0.0,0.0,0.01067,0.079122
exclude,2,C2 Ridge + régime,2022-04,2022-04-29,28,0.035710661837213324,0.1684139047000937,13,15,0,0.8932658962408507,0.10663263520112233,0.0,0.0,0.007884,0.172096
exclude,2,C2 Ridge + régime,2022-05,2022-05-31,17,0.058823529411764705,0.21630145089494657,0,17,0,0.0,1.0,0.0,0.0,0.010544,-0.023523
exclude,2,C2 Ridge + régime,2022-06,2022-06-30,18,0.05555357140857541,0.24693974766339147,4,14,0,0.26218929572706723,0.7377749896272903,0.0,0.0,0.010978,0.044967
exclude,2,C2 Ridge + régime,2022-07,2022-07-29,33,0.030297428844893216,0.24019008559045155,7,26,0,0.42616398070202,0.5736511711794561,0.0,0.0,0.008337,0.130838
exclude,2,C2 Ridge + régime,2022-08,2022-08-31,33,0.03029665501803918,0.17028124467283634,21,12,0,0.8862660335812043,0.11352358201408828,0.0,0.0,0.007229,0.235837
exclude,2,C2 Ridge + régime,2022-09,2022-09-30,37,0.02702231244148288,0.18136463897053923,16,21,0,0.5036669486428839,0.49615861169198255,0.0,0.0,0.006973,0.236703
exclude,2,C2 Ridge + régime,2022-10,2022-10-31,32,0.031248837229895444,0.2043227732539452,12,20,0,0.596208543089573,0.40375424826708095,0.0,0.2712,0.011319,0.334931
exclude,2,C2 Ridge + régime,2022-11,2022-11-30,39,0.02563708287333759,0.17050639789916697,14,25,0,0.6626162473720435,0.33722998468812226,0.0,0.2306,0.012068,0.298496
exclude,2,C2 Ridge + régime,2022-12,2022-12-30,40,0.02499476723694157,0.3998499992211789,19,21,0,0.8774196360133537,0.12237105346430903,0.0,0.136,0.008165,0.406398
exclude,2,C2 Ridge + régime,2023-01,2023-01-31,45,0.022219648764204385,0.2942321464414951,25,20,0,0.888226660632205,0.1116575337569923,0.0,0.2705,0.011473,0.288427
exclude,2,C2 Ridge + régime,2023-02,2023-02-28,47,0.021273980765739543,0.22731015773860663,34,13,0,0.8874652873596537,0.11241180863010479,0.0,0.2189,0.01113,0.235574
